state,x,y
北海道,88,305
青森,207,118
秋田,82,58
岩手,248,42
福島,205,-72
新潟,51,-18
宮城,213,-27
山形,87,4
茨城,185,-128
栃木,130,-113
群馬,88,-124
埼玉,105,-150
千葉,173,-190
東京,100,-170
神奈川,100,-185
富山,15,-98
石川,-33,-110
福井,-41,-102
山梨,70,-170
長野,46,-140
岐阜,-1,-164
静岡,56,-228
愛知,7,-232
三重,-20,-245
滋賀,-55,-242
京都,-82,-149
大阪,-87,-223
兵庫,-111,-243
奈良,-63,-234
和歌山,-84,-286
鳥取,-155,-145
島根,-222,-168
岡山,-108,-198
広島,-207,-218
山口,-284,-201
徳島,-109,-266
香川,-153,-231
愛媛,-212,-249
高知,-176,-300
福岡,-314,-219
佐賀,-341,-240
長崎,-342,-304
熊本,-316,-299
大分,-268,-275
宮崎,-256,-332
鹿児島,-326,-350
沖縄,324,-331
